受理意见,咨询主题,咨询人,咨询内容,咨询日期,处理单位,处理状态
尊敬的市民，您好！您反映的问题已超出我热线中心受理范围，建议您在办公时间内直接向珠海市金融局2113092咨询，感谢您对我热线中心的支持和理解，谢谢。,投资公司三证需要开不涉及金融经营范围批复,许*****,投资公司工商局三证合一，需要开不涉及金融经营范围批复，请问需要带什么资料，和表格？,2016-08-12 11:46:29,市金融工作局,办结
您好，《劳动合同法》第二十六条规定，下列劳动合同无效或者部分无效：（一）以欺诈、胁迫的手段或者乘人之危，使对方在违背真实意思的情况下订立或者变更劳动合同的；（二）用人单位免除自己的法定责任、排除劳动者权利的；（三）违反法律、行政法规强制性规定的。对劳动合同的无效或者部分无效有争议的，由劳动争议仲裁机构或者人民法院确认。感谢您对我们工作的关注和支持。,"劳动合同是否违法,属于无效条款",胡*****,劳动合同中有一条:乙方(员工方)同意社保交费基数为当地平均工资的60%做为扣缴标准。此条违反《广东省工伤保险条例》劳动第五十六条　用人单位依照本条例规定应当参加工伤保险而未参加的，由社会保险行政部门责令其限期参加并依法处理。用人单位未按时足额缴纳工伤保险费的，由社会保险费征收机构责令限期缴纳或者补足，并自欠缴之日起，按日加收万分之五的滞纳金；逾期仍不缴纳的，由有关行政部门处欠缴数额一倍以上三倍以下的罚款。    请问此劳动合同条款是不是无效条款？当员工受工伤时如何保障？,2016-08-11 14:44:38,市人力资源和社会保障局,办结
"您好，您提问的问题属于《广东省劳动保障监察条例》规定本省劳动保障监察日常执法工作中的一种原则性要求，但对于“重大劳动保障违法记录”并没有做出明确的认定标准，但劳动监察在日常执法工作中会根据企业存在如下违法行为时，将实行重点监控：一是未及时足额支付劳动报酬的，且涉及人数较多、月份超过两个月以上的；二是未依法为大部份在职员工参加社保险的；三是非法雇用童工的；四是长期存在超时加班的；五是经常性出员工投诉、举报、并有出现群体性劳资纠纷事件的；六是企业以暴力、威胁或者非法限制人身自由的手段强迫劳动者劳动的，或者用人单位违章指挥、强令冒险作业危及劳动者人身安全的。感谢您对我们工作的关注和支持。
以上列举一部份可视为重大劳动保障的违法行为，具体要侍立法机关作出相应的司法解释。",“重大劳动保障违法记录”具体指哪些记录？,李*****,《广东省劳动保障监察条例》第十九条“人力资源社会保障行政部门应当对有重大劳动保障违法记录的用人单位实行重点监控，加强日常监管，增加检查频次。”中“重大劳动保障违法记录”具体指哪些记录？谢谢。,2016-08-11 10:53:28,市人力资源和社会保障局,办结
您好。我局治安警察支队民警已联系您，做了解答。致礼。,居住证址变更,郭*****,关于6月1日实施的居住证办理政策中的一项居住证地址变更，是否分为本市和异地变得更?从中山转入珠海也需要6个月吗？更何况能提供珠海5年的社保证明！本人从新政策中只有看到首次申领需要6个月,2016-08-10 16:28:29,市公安局,办结
您好，我院计划10月份举行一次考评员培训，具体情况请留意我市门户网站（http://www.zhksy.gov.cn）通知。感谢您对我们工作的关注和支持。,请问珠海有举办职业考评员培训班吗？,黄*****,请问珠海有举办职业考评员培训班吗？,2016-08-10 10:43:42,市人力资源和社会保障局,办结
"尊敬的市民：您好,由于不清楚您要咨询什么，建议您拨打我们热线12345进行反映，感谢您对我们热线的关注与支持!",花露水,张*****,我司联合举办一场公益活动，是济生吉大总店，医保店，其中有花露水，但我们不陈列出来，请问可以吗？,2016-08-09 10:43:11,市人力资源和社会保障局,办结
尊敬的市民，您好！根据《工商行政管理部门处理消费者投诉办法》第十二条 消费者通过信函、传真、短信、电子邮件和12315网站投诉平台等形式投诉的，应当载明：消费者的姓名以及住址、电话号码等联系方式；被投诉人的名称、地址；投诉的要求、理由及相关的事实根据；投诉的日期等。,购买了假丝绸，维权。,申*****,各位工商局、旅游局领导你们好：   我叫申素珍，湖南省邵东县人，参加了湖南省益阳市龙舟旅行社组织的港澳旅游团四晚五天港澳游。我们团共19人，最后一天(2016年8月5日)由澳门直接到了珠海，珠海一位姓张的导游将我们安排入住后，让我们第二天（8月6日）六点就集合，先带去了手表厂和丝绸店。下午去中山故居不远处的一个珠宝店。    上午9点多钟左右，张导将我们带到一个丝绸店，那个丝绸店进门就有一人假沙漠，里面有河沙，还有二只假骆驼，及几棵沙漠生长的小草，好象古时的丝绸之路一样。一层里面有各种丝绸展品，带我们到了二层，里里有些纺织机。里面全是丝绸展品，床上用品。带我们进入一间小的房子里，一位男性工作人员，向我介绍了蚕丝及丝绸。说他们是丝绸的生产厂家，主要产品销往欧州市场，为国内多家品牌厂代工，并承诺：他们的产品百分之百是蚕丝制品，假一罚十。我刷卡5900元。买了二床蚕丝被、二床四件套、二个抱枕、他们给我打包快递寄回湖南邵东，2016年8月8日下午我收到了韵达快递寄来的货，我打开之后一看，二床蚕丝被子是很差的蚕丝，二床四件套及二个抱枕都不是丝绸的，是纤维的。完全不值钱。我大喊受骗了。他们的产品全是三无产品。当时，我几次要求要发票，他说放在包裹内一起寄。他说你有银行小票就可以了。包裹内没有什么发票。作为一个消费者，我强烈要求退货退款。此类骗局出现在珠海，不可思议，我们来之前因为信用，所以没有实现调查，发现后去看了此类骗局触目惊心，珠海作为一个经济开发区，为什么此类骗局一直存在，没有被取缔，受骗的旅游者每年都有，如此明目张胆？在珠海旅游在我们心目中的印象是：珠海是骗卖。     请政府能过问此事，帮我们受害者维权。为了维护旅游业的健康发展和社会稳定，更重要的是珠海市的形象，在旅游购物中的价格欺诈必须铲除。还有一种诈骗消费。希望公安严打狠抓。,2016-08-09 08:41:35,市工商局,办结
尊敬的市民，您好！登记注册有关事项请现场咨询，地址：香洲区人民东路125号工商大厦1楼登记注册大厅。（个体工商户登记事宜，也可直接到属地工商所进行咨询）感谢您对我们工作的支持，谢谢！,经营乙二醇是否需要什么资质,董*****,"请问,乙二醇做为一种化工用品,经营买卖是否需要什么资质?",2016-08-08 15:29:47,市工商局,办结
尊敬的市民，您好！外地户籍小孩需参加珠海市未成年人医疗保险的，需在本市幼儿园或托儿所以上学校就读满一年的条件后提供参保人户口本原件；经办人身份证原件、参保人或其法定监护人在市内农行、工行、交行、建行、农商银行属下网点开设的个人结算存折或银行借记卡的原件填写《珠海市基本医疗保险二档（学生和未成年人）申报表》（提供学校、幼儿园或托儿所就读相关证明，或在《申报表》上加盖学校、幼儿园或托儿所公章）到学校所属的社保中心办事处办理。感谢您对我们工作的支持！,外地户口的小孩可以买社保吗？,董*****,你好，咨询一下：我在珠海工作多年，公司有买社保，但是户口不在珠海，现在小孩出生了，请问可以在珠海为小孩买医保吗？,2016-08-08 13:17:45,市人力资源和社会保障局,办结
您好！目前我们没有收到今年上调养老金的文件。如果有上调养老金文件，我们将按政策执行。,职工养老金增幅部分发放,徐*****,请教：2016年职工养老金增幅部分如何发放？,2016-08-07 17:53:51,市人力资源和社会保障局,办结
尊敬的市民，您好！根据《工商行政管理部门处理消费者投诉办法》第十二条 消费者通过信函、传真、短信、电子邮件和12315网站投诉平台等形式投诉的，应当载明：消费者的姓名以及住址、电话号码等联系方式；被投诉人的名称、地址；投诉的要求、理由及相关的事实根据；投诉的日期等。,购物不满意申请投诉,廖*****,昨天导游带去凯莱乳胶加工厂购买床垫，当时消费冲动购买了床垫，现在对产品不满意所以申请退货，请有关部门解决。乳胶加工厂联系电话：18676109739售后服务热线：4008892109,2016-08-06 08:06:20,市工商局,办结
尊敬的市民，您好！根据《广东省人民政府关于切实做好台风“妮妲”防御工作的紧急动员令》中表示：不涉及国计民生和城市运行的企业事业单位可安排放假或换休一天。其已明确单位可通过换休来安排台风当日休息。您的情况需与单位协商，如协商期间存在争议的，可申请劳动仲裁来维护个人权益。感谢您对我们工作的支持！,有关台风假企业是否可以调休补办的问题,吴*****,2016.8.2珠海因台风放假1天，但是企业说本周六，即8.6需要补班，补办这个行为，请问这是符合相关规定的吗？,2016-08-05 09:31:23,市人力资源和社会保障局,办结
"您好！户政中心已电话回复您,，办理中还有什么问题，可拔打户政中心咨询电话：8640350。

户政中心
2016年8月9日",户口迁移,张*****,我老婆准备把户口转到珠海我们房子那里，但是房产证上是我一个人的名字，婚后房，请问这种情况可以落户吗？人力资源网已经公布了调令,2016-08-05 08:15:56,市公安局,办结
尊敬的市民，您好！如您需办理社保关系转出的，您可在停保状态下，提供本人身份证或市民卡原件，到珠海市社保经办机构打印《养老保险参保缴费凭证》、《基本医疗保险参保凭证》（如代办可提供清晰的身份证复印件，同时提供经办人身份证原件）到转入地的社保经办机构办理社保关系转入。感谢您对我们工作的支持，谢谢！,社保转移问题,聂*****,你好！我想咨询下社保转移问题。几年前我到珠海参加工作缴交了快2年的社保，社保卡也一直未办理，且以前的公司好像也不在了，然后现在在长沙参保了，我能把珠海的社保进行社保转移或者合并吗？？   请回复，着急！！！ 我的缴纳身份证号：430722198704030711,2016-08-04 16:14:59,市人力资源和社会保障局,办结
尊敬的市民，您好！您的情况可到该店所属的劳动部门进行投诉来维护个人权益。感谢您对我们工作的支持！,老板拖欠工资,赖*****,自己来珠海打暑假工，在店里工作因为实在压力太大，然后工作十天后就辞职了，第十一天早上跟那个老板说了，自己还帮他干了一上午，最后说微信结工资给我，然后微信问他，说月底结给我。月底过后又说干了十天不给工资。,2016-08-04 15:11:15,市人力资源和社会保障局,办结
尊敬的市民，您好！珠海市产假的规定根据《女职工劳动保护贴别规定》第七条：女职工生育享受98天产假、《广东省女职工劳动保护实施办法》第六条：“生育时遇有难产的（如剖腹产），可增加产假三十天”、《广东省企业职工假期待遇死亡抚恤待遇暂行规定》第六条：“多胞胎生育的，每多生育一个婴儿增加产假15天”和修订后的《广东省人口与计划生育条例》第三十一条：“符合法律、法规规定生育子女的夫妻，女方享受三十日的奖励假，男方享受十五日的陪产假。在规定假期内照发工资，不影响福利待遇和全勤评奖”。感谢您对我们工作的支持，谢谢！,产假,高*****,您好，想请问下现在产假的具体天数百度上说，广东省职工产假最少为128天，包括98天顺产假和30天计生奖励假，剖腹产等难产的情况可增加30天，即158天。不知道珠海是否是这样的呢？,2016-08-04 12:32:49,市人力资源和社会保障局,办结
尊敬的市民，您好！如您满足退休医疗待遇的享受条件的，则无需再购买医疗保险。如您不满足的，可选择继续延缴职工基本医疗保险或每年参加珠海市城乡居民医疗保险来享受医疗待遇。感谢您对我们工作的支持！,申请领取退休金后，是否还在买医保？,陈*****,本市户籍社保已缴满15年，现在申请领取退休金，是否还有买医保？,2016-08-04 10:27:54,市人力资源和社会保障局,办结
尊敬的市民，您好！目前，参保人暂无法通过网上服务平台办理定点医疗机构选定的业务。您需提供资料到定点医疗机构办理选定（签约）。感谢您对我们工作的支持！,现在可以网上办理定点医院及定点医院转移,黄*****,现在可以网上办理定点医院？网上办理怎么操作,2016-08-03 20:32:12,市人力资源和社会保障局,办结
尊敬的市民，您好！您的情况需到人社局前台咨询具体原因了。感谢您对我们工作的支持！,2009年之前的社保缴费记录查不到,陶*****,本人自2003年起，一直在珠海工作，并按时缴纳社保；为何网上只能查到2009年以后的社保记录？,2016-08-03 12:51:22,市人力资源和社会保障局,办结
您好，如果是申请省劳动力技能晋升补贴，则是以发证日起1年内可以申请。先到省人力厅网上自行提交申请，通过后将资料交到到户口所在地，或居住地经办机构申请。感谢您对我们工作的关注和支持。,人力资源证书有补贴吗,吴*****,你好，网上说能过人力资源管理考试会有补贴是真的吗？那有没有时间限制的,2016-08-03 10:34:32,市人力资源和社会保障局,办结
您好，如医生建议需住院做手术的，可以按珠海市基本医疗保险二档报销；属门诊费用不予报销。感谢您对我们工作的关注和支持。,小孩割包皮医保是否可以报销,张*****,小孩有购买珠海医保，割包皮是否可以享受医保报销？对于医院是否有什么要求？在珠海市人民医院是否可以？,2016-08-02 18:02:12,市人力资源和社会保障局,办结
您好，您的问题我们将有专人电话联系您，感谢您对我们工作的关注和支持。,用功合同终止不给辞职证明,洪*****,我5月通过系统提交辞职报告，六月完成交接工作并完成审批，按道理7月能够拿到辞职证明，当工作单位说有保密协议，（保密协议是硬性要签的，合法吗？）要11月才能给辞职证明，我在这几个月能领到失业金吗？除了不能提供单位要延期开具的离职证明，我能说明情况领到事业证明吗？,2016-08-02 12:10:13,市人力资源和社会保障局,办结
"尊敬的市民，您好！您此单与 111608025702301重复，该单已转部门跟进，为避免重复转办工单影响处理时效，因此此单不再重复转办，请您耐心等待。
感谢您对我热线中心的支持和理解！",单位终止用工世界和辞职证明时间出入较大,洪*****,我5月通过系统提交辞职报告，六月完成交接工作并完成审批，按道理7月能够拿到辞职证明，当工作单位说有保密协议，要11月才能给辞职证明，我在这几个月能领到失业金吗？除了不能提供单位要延期开局的离职证明，我能说明情况领到事业证明吗？,2016-08-02 11:54:02,市人力资源和社会保障局,办结
"您好，1、请按照我市今年的评审通知第四点材料报送要求准备申报评审资料，链接如下：
http://www.zhrsj.gov.cn/fuwu/zcps/zc/201607/t20160704_12343659.html
2、社保是鉴定申报人工作岗位是否在珠海的重要依据，如因工作需要异地安排工作岗位导致社保缴纳地与工作所在地不一致的，需由所在单位提供证明文件（加盖公章）；属于劳务派遣的，在提供社保证明的同时，提供劳务派遣合同或派遣方与所派遣单位的证明文件（加盖双方公章）。感谢您对我们工作的关注和支持。",评助理工程师那回事,陈*****,1、评助工需要什么资料2、用不用社保，社保是否一定在珠海买，能不能在深圳总公司买就好了,2016-08-01 15:21:53,市人力资源和社会保障局,办结
您好！1、社保缴费的网上查询链接为https://www.zhldj.gov.cn/zhrsClient/login.jsp（网页涉及安全提示，请点击“是”进入页面），请按公告要求在网上服务平台中注册个人信息，然后可登录查询参保缴费情况及进行相关的业务信息管理。2、下载珠海市社会保险基金管理中心的手机客户端（安卓版：www.zhsi.gov.cn/zhsi.apk ）进行注册查询。或关注“zhuhaishebao”的官方微信进行查询。3、您可凭本人二代身份证或市民卡到社保自助打印网点查询打印个人参保信息，社保自助打印设备网点网址：http://www.zhsi.gov.cn/zhsi_news/subpage_selfprint.jsp。如您本人不在珠海，可请代办人携带他本人的身份证原件及您的身份证原件到社保中心前台打印。社保转移具体办理流程如下：1.在原参保地停保后，持身份证到社保经办机构打印参保缴费凭证（《基本养老保险参保缴费凭证》、基本医疗《参保凭证》）→2.持该凭证向新参保地社保经办机构申请转入→3.新参保地受理您的申请后，向原参保地发出《联系函》办理您的关系转接手续→4.原参保地收到《联系函》办理关系转出，向新参保地发出《信息表》及转移基金→5.新参保地收到《信息表》及转移基金后办理接续。感谢您对我们工作的关注和支持。您可以到我市社保中心任何一个办事处、办事窗口打印参保缴费凭证（本人办理需提供身份证原件或者市民卡原件，代办需要代办人携带本人身份证原件及申请人身份证原件或市民卡原件），也可以通过登陆我中心网上服务平台https://www.zhldj.gov.cn/zhrsClient/打印参保缴费凭证，不需要前往我市办事处、办事窗口办理。感谢您对我们工作的关注和支持。,社保参保缴费证明以及转社保,廖*****,你好，我有两个问题需要咨询：1.我由于要评职称，所以需要社保参保缴费证明，请问我让朋友拿着我的身份证就可以去社保局打印出来吗？2.目前我已不在珠海工作，请问想把设保转往外省，可以让我朋友拿着我的身份证就可以去社保局，能办理吗，需要委托书什么的吗？还有流程是什么？谢谢,2016-08-01 12:31:35,市人力资源和社会保障局,办结
8月1日我队车管所已致电当事人做了答复工作。,机动车抵押解除,李*****,三年前本人在珠海购奇瑞E5汽车，办理的是'抵押代款，现代款已还完，我需要解除抵押代款，但我现在在中山工作，没办法办理珠海居住证，去车管所办理不了手续，请问我该怎么办？,2016-08-01 09:08:41,市公安局,办结
您好，您的问题我们将有专人电话联系您，感谢您对我们工作的关注和支持。,毕业生毕业一年后转正定级,杨*****,去年2015年大学毕业拿报到证去珠海金湾红旗人力资源报道的时候，听那里的人说在报到证上的公司工作满一年后可以拿转正定级表格找公司盖章后拿回人力资源那里申请转正定级，想问一下现在还需要拿表格回去转正吗？转正定级表格在哪里可以下载？,2016-07-30 16:27:37,市人力资源和社会保障局,办结
尊敬的市民：您好。您的咨询已收悉，现回复如下：高考报名需要提供：⑴广东省常住户口簿；⑵二代（或三代）身份证；⑶学历证明（往届生提供毕业证、外地返珠应届生需提供学校证明）；⑷广东省普通高中学业水平考试成绩证明（高中阶段从外省转入的考生，需提供原省级教育部门盖章的普通高中学业水平考试成绩证明或高中毕业会考成绩证明）。如您已具备上述材料，可参加普通高考报名。具体事项可与我局招生办咨询：2121277.感谢您对教育工作的关心和支持。,高考,何*****,我今年17岁，我已经读了两年，参加了2016年的学业水平测试，并且通过了学业水平测试，我本人因个人意愿从学校退学，我还能参加2017年的高考吗？,2016-07-30 04:37:28,市教育局,办结
热心市民：您好，您的诉求已收悉，我中心及时将该诉求转至区职能部门。据拱北街道调查回复：关于居民咨询侨岭街拆迁改造的问题，侨岭街暂时没有拆迁改造的计划，但有规划将岭南社区纳入下一步香洲区老旧社区环境整治提升工程项目，已向上级部门申报，目前正在审批当中。,侨领街拆迁改造,金*****,我想咨询拱北侨领街拆迁改造何时启动？有没有规划？,2016-07-29 22:03:47,香洲区市民问政服务中心,办结
尊敬的市民，您好！参保人办理医疗保险关系转移时，如转出地可以将个人医疗账户余额的金额进行转移的，关系成功转入本市后，会一同将该金额及关系转入至本市，届时，您可通过查询市民卡的个人医疗账户余额。您的情况可先咨询深圳当地的人社局，在办理职工医疗保险关系转移时，个人医疗账户是否能跟关系一同转移。如果转移接续成功，查过医保卡没钱的，您需到人社局前台咨询失败原因了。感谢您对我们工作的支持！,异地转入社保，医保余额怎么没有转过来,马*****,社保从深圳转到珠海，但是从网站查询 只转签了社保，医保账户余额没有转过来呢？深圳那面也注销账户了，我要怎么解决这事，把深圳的医保余额转到珠海?谢谢,2016-07-29 17:25:03,市人力资源和社会保障局,办结
"您好！户政中心已电话回复您,，还有什么问题，可拔打户政中心咨询电话：8640350。

户政中心
2016年8月1日",珠海外省身份证过期什么时候才能办理,郭*****,"我是江西户口,一直在珠海务工.身份证在2016的9月份过期,因怀孕不方便回老家办理身份证.想请问珠海外省身份证过期什么时候才能办理,可否给个大概时间.",2016-07-29 15:02:05,市公安局,办结
您好，您的问题我们将有专人电话联系您，感谢您对我们工作的关注和支持。,高层次人才以及青年优秀人才评定条件,徐*****,请问珠海市高层次人才以及青年优秀人才评定的条件是什么？怎么评定的？,2016-07-29 10:53:01,市人力资源和社会保障局,办结
"您好！收到您的咨询事项后，户政中心已电话回复您，如还有什么问题，可拔打户政中心咨询电话：8640350。

                                           户政中心
                                        2016年7月29日",积分入户后更改落户地点,杨*****,你好，当初在申请积分入户时我申请的落户地址是居委会集体户口，但是现在我已经找到朋友可以挂靠户口，届时我通过申请积分入户后是否可以更改为入户朋友的户口薄呢？谢谢！,2016-07-28 14:52:47,市公安局,办结
尊敬的市民，您好！如您妻子因解除或终止劳动关系导致连续缴费不足12个月的，除了正常资料外，另需提供单位所属劳动部门出具的解约通知书或者打印备案登记证明（需盖劳动部门的章）办理报销。感谢您对我们工作的支持！,生育津贴报销,张*****,我老婆生产当月，连续参保只有11个月，不能报销生育保险，要继续交满一年才给报销，但是后面又没有交满一年又离职没买了。请问现在能否报销生育保险呢,2016-07-28 13:28:50,市人力资源和社会保障局,办结
"您好！收到您的咨询事项后，户政中心已电话回复您，如还有什么问题，可拔打户政中心咨询电话：8640350。 

                                     户政中心
                                   2016年7月29日",珠海的社会团体如何申请集体户口。,张*****,2015年8月成立的社会团体，问，单位的集体户口如何申请办理。,2016-07-28 11:19:07,市公安局,办结
您好，您的问题我们将有专人电话联系您，感谢您对我们工作的关注和支持。,关于档案,张*****,您好，我2012年在珠海毕业，然后跟一家珠海国企签了三方协议，把自己的户口转到了原有公司，档案现在也在珠海。现已是干部身份了。但是去年年底我已经在佛山工作，并意愿以后在佛山长期发展。现在想将自己的人事档案以及党员档案一同转到来佛山，佛山这边说由他们开出商调函，然后我拿着商调函回到珠海人力资源市场这边，珠海这边就回把档案寄过去了。中途缺什么资料，珠海这边会通知我。我现在想知道，我这边出了把商调函交给人事档案管理部还需要交什么，因为佛山回珠海一次不容易，希望事情能一起解决。PS：多次咨询“珠海市人才资源与就业服务中心人才交流部，人才档案管理部”的电话都不通，也不知道怎么办了？,2016-07-26 10:22:24,市人力资源和社会保障局,办结
尊敬的市民，您好！目前，深圳暂无珠海市的定点医院；按照规定：如您并未办理市外转诊而在市外发生住院费用的属于未经核准的医疗费用，住院起付标准、最高支付限额按照市内就医处理，支付比例为60%（起付标准：一级医院：300元；二级医院：500元；三级医院：1000元；参保人住院没社保年度最高支付限额（含个人自付部分）根据其连续参保缴费的时间确定，具体为：6个月以内（含6个月）限额2万；6个月以上，1年以下（含1年）限额8万；1年以上限额30万）。感谢您对我们工作的支持！,珠海医保市外定点医院有哪些？报销比例如何,胡*****,1）珠海医保在深圳有哪家定点医院？2）持有珠海医保卡，无转诊证明材料，本人自行到市外（省内）定点医院住院，报销比例和起报标准如何？谢谢！,2016-07-26 10:12:43,市人力资源和社会保障局,办结
尊敬的市民，您好！参保人自参保缴费的次月1日起享受规定的基本医疗保险待遇。参保人住院没社保年度最高支付限额（含个人自付部分）根据其连续参保缴费的时间确定，具体为：6个月以内（含6个月）限额2万；6个月以上，1年以下（含1年）限额8万；1年以上限额30万。参保人社保年度内发生起付标准以上、最高支付限额以下的住院核准医疗费用，统筹基金按以下规定支付：基本医疗保险一档参保人，在职人员支付92%、退休人员支付94%；基本医疗保险二档参保人支付90%。感谢您对我们工作的支持！,珠户个人购买医疗保险，多久可用于报销住院,胡*****,我是珠海城镇户口，停缴社保已经有3年了（以前是公司给交），如今，我准备以个人名义缴纳社保。1）请问缴纳社保后多久，才可以享受住院报销；2）住院报销上比例、政策怎样？,2016-07-25 13:45:02,市人力资源和社会保障局,办结
您好，您的问题我们将有专人电话联系您，感谢您对我们工作的关注和支持。,应届生落户,毛*****,我是应届博士毕业生，来珠海工作，已经入职报到，公司已经帮我将户口迁移证明提交至贵部分，我已收到短信。请问我的户口大约多长时间能下来？,2016-07-25 11:49:37,市人力资源和社会保障局,办结
"尊敬的市民，您好！您此单与031607253471401重复，该单已转部门跟进，为避免重复转办工单影响处理时效，因此此单不再重复转办，请您耐心等待。
感谢您对我热线中心的支持和理解！",二手房税费,廖*****,你好，请问二手房交税买卖双方需要提供什么资料？备注：卖方为澳门人，已离婚；买方本地人，已婚。,2016-07-25 10:46:25,市地方税务局,办结
您好！根据目前政策，在珠海市参加未成年医疗保险的参保人如在市外产生住院费用的，可凭住院的相关就医资料回珠海申请报销，根据参保人具体的病情由专门的审核人员审核后如属急诊的，核准费可按市内住院比例90%报销；如不属于急诊的在市外产生的住院费用按可报销部分的60%报销（扣自费+起付）。没有申请通过的门诊特殊病种，在门诊产生的费用不予报销。市外住院的费用回珠海报销需带的资料可通过以下链接查询：http://www.zhsi.gov.cn/zhsi_news/subpage_guide.jsp?bm=bm03&cid;=13&id;=10012目前未成年人医疗保险暂无相关转移政策。感谢您对我们工作的关注和支持。,少儿医保,张*****,孩子珠海户籍，未满两周岁，出生后办理了珠海少儿医保，因父母双方均在深圳工作，目前随父母在深圳生活。想知道珠海的少儿医保，如果在深圳有门诊或者住院，是否能申请报销，如果可以报销需要办理哪些手续和资料？对于住院是否有哪些病种不在报销范畴内？等孩子一年后可以读幼儿园了，医保可以转来深圳了，有哪些手续需要办理？盼复，谢谢！,2016-07-25 10:15:42,市人力资源和社会保障局,办结
咨询内容已收悉，现将回复如下：我市燃气汽车维修企业资质条件按照《汽车维修业开业条件 第1部分：汽车整车维修企业》（GB/T16739-2014）要求筹备，除此之外，还需增加相应附加要求。1.人员条件：从事燃气汽车维修的企业，至少应配备一名熟悉燃料供给系统专业技术的专职作业、检验人员，并经培训合格，持证上岗。2.设备条件①厂房要求：从事燃气汽车维修的企业，应有专用维修厂房，厂房应为永久性建筑，不得使用易燃建筑材料，面积应与生产规模相适应。厂房内通风良好，不得堆放可能危及安全的物品。厂房周围5 m内不得有任何可能危及安全的设施。②场地要求：从事燃气汽车维修的企业，还应设有密封性检查、卸压操作的专用场地，可以设在室外。应远离火源，应明示防明火，防静电的标志。3.设备条件：①气体压力及流量检测仪②便携式气体检漏仪③氮气置换装置④气瓶支架强度校验装置。此复。,珠海市燃气汽车维修行资质要求,倪*****,请问一下珠海市内关于燃气汽车维修行的资质要求，谢谢！,2016-07-25 09:38:52,市交通运输局,办结
尊敬的市民，您好！凡是在我市参加社会保险的人（非珠海市户籍人员在办理市民卡的当月需属于正常参保状态），可凭本人身份证原件（持非珠海市公安局颁发的二代身份证还需提交由照相馆出具的《珠海市社会保障（市民）卡数码相片回执》，委托他人办理的还须提供代理人的身份证件）自行选择工商银行、农业银行、中国银行、建设银行、交通银行、光大银行、华润银行、广发银行、农商银行九家银行其中之一的营业网点办理。感谢您对我们工作的支持！,异地人员珠海工作，办理珠海社保卡,陈*****,本人深圳户口，今年来珠海工作。已在珠海连续缴了3个月社保。之前已有一张深圳的社保金融卡，现想办理珠海的社保卡。请问我该怎么做？我应提供什么资料？,2016-07-25 08:28:17,市人力资源和社会保障局,办结
尊敬的市民，您好！您可提供本人身份证、由照相馆出具的《珠海市社会保障（市民）卡数码相片回执》自行选择工商银行、农业银行、中国银行、建设银行、交通银行、光大银行、华润银行、广发银行、农商银行九家银行其中之一的营业网点办理市民卡。感谢您对我们工作的支持！,异地就业办理社保,陈*****,本人深圳户口，4月份来珠海工作，已在珠海交社保3个月。在深圳已办有金融社保卡，现想在珠海办多一张社保卡。请问我要该怎么做？应提供什么资料？,2016-07-25 08:20:47,市人力资源和社会保障局,办结
您好，由于需了解参保人员个人信息及参保缴费情况方可详细回复，建议您持参保人身份证到社保经办部门或拨打热线电话12345详细咨询。,外地户口可以以个人身份购买珠海社保吗？,罗*****,您好！我母亲是非珠海户口，在珠海已经买了快7年的社保了，之前都是在单位购买的，现在辞职了没有单位可以以个人名义再继续购买社保吗？如果到了50周岁还未买满10周年还可以继续购买吗？,2016-07-24 16:30:51,市人力资源和社会保障局,办结
尊敬的市民，您好，请您提供空调的购买凭证、何时购买、空调型号等基本信息，以方便部门跟进处理。,格力空调质量及服务问题,虞*****,两年不到的中央空调，安装花了13万多，已经出现许多问题。一是出风口问题，一共有14个出风口，一下坏掉了5个；二制冷不正常，师傅检查后是外机压缩机有问题；三是有的出风口温控有问题，到达设定温度后还在制冷。联系厂家官方售后电话，连打5天都没有回复！,2016-07-24 08:09:15,市工商局,办结
您好，根据粤人社发[2012]64号，申请一次性缴费的知青，从未参加企业职工基本养老保险的，在户籍所在地办理；已参加企业职工基本养老保险未领取基本养老金的，在最后参保缴费地办理。感谢您对我们工作的关注和支持！,咨询办理退休事项,曾*****,您好，我想咨询一下：我父亲（1956年生）潮安浮洋人，1980年知青下乡在珠海平沙华侨农场工作（家里还有相应工会证），后因需要照顾长辈而归乡（1987年），请问是否可以补交社保办理退休？望复！,2016-07-23 09:30:32,市人力资源和社会保障局,办结
尊敬的市民，您好！如您单位之前为您参加的基本医疗保险一档的，则相关社保费用不会发生变化；如您单位之前为您参加的为基本医疗保险二档（即原来的大病医疗保险）的，相应的会存在个人缴纳职工基本医疗保险费用。感谢您对我们工作的支持！,社保,谢*****,我在珠海工作，外省户口。公司给我交社保。下个月户口转到珠海了。公司给我交的社保的费用会有变化吗,2016-07-22 10:10:01,市人力资源和社会保障局,办结
